F641;"Municipal and City Level Small Area Poverty Estimates;  2018 and 2021";;;;;;;;;
PSGC;Region/Province;Municipality/City;Poverty Incidence;;Coefficient of Variation;;90% Confidence Interval;;;
;;;;;;;;;;
;;;2018;2021;2018;2021;2018;;2021;
ID;;;;;;;Lower Limit;Upper Limit;Lower Limit;Upper Limit
;National Capital Region (NCR);;;;;;;;;
157001;Tawi-tawi;Panglima Sugala (Balimbing);27,5;41,9;15,6;7,8;20,5;34,6;36,6;47,3
157002;;Bongao;17,3;22,1;16,8;7,6;12,5;22,1;19,3;24,8
157003;;Mapun (Cagayan De Tawi-Tawi);18,8;38,2;22,1;16,7;12,0;25,7;27,7;48,7
157004;;Simunul;14,6;26,8;27,6;10,9;8,0;21,3;22,0;31,6
157005;;Sitangkai;24,0;57,6;26,3;10,4;13,6;34,4;47,8;67,5
157006;;South Ubian;16,4;43,5;17,7;7,4;11,7;21,2;38,2;48,8
157007;;Tandubas;23,9;41,6;18,4;7,6;16,7;31,2;36,3;46,8
157008;;Turtle Islands;18,6;35,1;47,3;46,1;4,1;33,0;8,5;61,7
157009;;Languyan;17,0;39,7;20,0;6,5;11,4;22,6;35,5;43,9
157010;;Sapa-Sapa;24,8;37,2;17,2;7,9;17,8;31,8;32,4;42,0
157011;;Sibutu;20,9;30,1;18,6;9,7;14,5;27,3;25,3;34,9
Source: Philippine Statistics Authority, through a national government-funded project on the generation of the small area estimates of poverty;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Notes:  ;;;;;;;;;;
1. The standard deviation of an estimate can be derived by multiplying the poverty incidence and coefficient of variation then divide by 100.;;;;;;;;;;
2. The Municipality of Bumbaran, Lanao del Sur was renamed as Municipality of Amai Manabilang per Muslim Mindanao Autonomy Acto No. 316, series of 2014 and was ratified through a plebiscite on 07 April 2018.;;;;;;;;;;
